Threads,Resolution,Max Iterations,Time (s)
1,400x400,500,0.249606
1,400x400,1000,0.495684
1,400x400,2000,0.989463
1,800x800,500,0.93444
1,800x800,1000,1.85608
1,800x800,2000,3.6226
1,2880x1920,500,7.93058
1,2880x1920,1000,14.7255
1,2880x1920,2000,28.6134
2,400x400,500,0.115352
2,400x400,1000,0.219156
2,400x400,2000,0.426222
2,800x800,500,0.447464
2,800x800,1000,0.861188
2,800x800,2000,1.68071
2,2880x1920,500,3.85761
2,2880x1920,1000,7.49111
2,2880x1920,2000,14.6096
4,400x400,500,0.0633664
4,400x400,1000,0.11966
4,400x400,2000,0.232475
4,800x800,500,0.257965
4,800x800,1000,0.450548
4,800x800,2000,0.8982
4,2880x1920,500,2.05658
4,2880x1920,1000,4.0511
4,2880x1920,2000,8.2488
8,400x400,500,0.0553071
8,400x400,1000,0.0892577
8,400x400,2000,0.194016
8,800x800,500,0.199824
8,800x800,1000,0.379925
8,800x800,2000,0.765039
8,2880x1920,500,1.68779
8,2880x1920,1000,3.30608
8,2880x1920,2000,6.75096
16,400x400,500,0.0352019
16,400x400,1000,0.0628426
16,400x400,2000,0.125554
16,800x800,500,0.135216
16,800x800,1000,0.253445
16,800x800,2000,0.526253
16,2880x1920,500,1.14004
16,2880x1920,1000,2.24087
16,2880x1920,2000,4.2612
18,400x400,500,0.0387317
18,400x400,1000,0.0701691
18,400x400,2000,0.139767
18,800x800,500,0.134792
18,800x800,1000,0.263405
18,800x800,2000,0.550276
18,2880x1920,500,1.18223
18,2880x1920,1000,2.31149
18,2880x1920,2000,4.69369
24,400x400,500,0.0361147
24,400x400,1000,0.0674915
24,400x400,2000,0.134895
24,800x800,500,0.142108
24,800x800,1000,0.283884
24,800x800,2000,0.569384
24,2880x1920,500,1.23742
24,2880x1920,1000,2.44297
24,2880x1920,2000,4.7784
32,400x400,500,0.0361483
32,400x400,1000,0.0669115
32,400x400,2000,0.126723
32,800x800,500,0.131874
32,800x800,1000,0.253008
32,800x800,2000,0.526057
32,2880x1920,500,1.205
32,2880x1920,1000,2.5022
32,2880x1920,2000,4.6421
