Threads,Resolution,Max Iterations,Time (s)
1,400x400,500,0.227359
1,400x400,1000,0.425822
1,400x400,2000,0.83674
1,800x800,500,0.885274
1,800x800,1000,1.69069
1,800x800,2000,3.25208
1,2880x1920,500,7.56467
1,2880x1920,1000,14.7112
1,2880x1920,2000,28.6243
2,400x400,500,0.115843
2,400x400,1000,0.220272
2,400x400,2000,0.413102
2,800x800,500,0.448206
2,800x800,1000,0.855412
2,800x800,2000,1.6664
2,2880x1920,500,3.83619
2,2880x1920,1000,7.35507
2,2880x1920,2000,14.4227
4,400x400,500,0.0584892
4,400x400,1000,0.113567
4,400x400,2000,0.218503
4,800x800,500,0.230537
4,800x800,1000,0.434026
4,800x800,2000,0.861262
4,2880x1920,500,1.95113
4,2880x1920,1000,3.78919
4,2880x1920,2000,7.53683
8,400x400,500,0.0403169
8,400x400,1000,0.0771509
8,400x400,2000,0.153939
8,800x800,500,0.163532
8,800x800,1000,0.313727
8,800x800,2000,0.613191
8,2880x1920,500,1.40468
8,2880x1920,1000,2.73487
8,2880x1920,2000,5.43778
16,400x400,500,0.0311245
16,400x400,1000,0.0587441
16,400x400,2000,0.115629
16,800x800,500,0.123937
16,800x800,1000,0.237837
16,800x800,2000,0.463099
16,2880x1920,500,1.11133
16,2880x1920,1000,2.08297
16,2880x1920,2000,4.23645
18,400x400,500,0.032387
18,400x400,1000,0.062593
18,400x400,2000,0.122551
18,800x800,500,0.130383
18,800x800,1000,0.250435
18,800x800,2000,0.488996
18,2880x1920,500,1.13383
18,2880x1920,1000,2.27893
18,2880x1920,2000,4.58242
24,400x400,500,0.035596
24,400x400,1000,0.067393
24,400x400,2000,0.134766
24,800x800,500,0.137959
24,800x800,1000,0.265299
24,800x800,2000,0.517452
24,2880x1920,500,1.18273
24,2880x1920,1000,2.27172
24,2880x1920,2000,4.50221
32,400x400,500,0.0349235
32,400x400,1000,0.0683398
32,400x400,2000,0.129989
32,800x800,500,0.139725
32,800x800,1000,0.263215
32,800x800,2000,0.51743
32,2880x1920,500,1.1736
32,2880x1920,1000,2.27084
32,2880x1920,2000,4.49363
